NCM,Início de vigência,Fim de vigência
03038910,01/01/2016,
03038920,01/01/2016,
03038931,01/01/2016,31/03/2017
03038932,01/01/2016,
03038933,01/01/2016,
03038941,01/01/2016,
03038942,01/01/2016,
03038943,01/01/2016,
03038944,01/01/2016,
03038945,01/01/2016,
03038946,01/01/2016,
03038951,01/01/2016,
03038952,01/01/2016,
03038953,01/01/2016,
03038954,01/01/2016,
03038955,01/01/2016,
03038956,01/01/2016,
03038957,01/01/2016,31/03/2017
03038961,01/01/2016,
03038962,01/01/2016,
03038963,01/01/2016,
03038964,01/01/2016,
03038965,01/01/2016,
03038990,01/01/2016,
03039000,01/01/2016,31/03/2017
03039100,01/01/2017,
03039200,01/01/2017,
03039910,01/01/2017,
03039920,01/01/2017,
03039990,01/01/2017,
03043100,01/01/2016,
03043210,01/01/2016,
03043290,01/01/2016,
03043300,01/01/2016,
03043900,01/01/2016,
03044100,01/01/2016,
03044200,01/01/2016,
03044300,01/01/2016,
03044400,01/01/2016,
03044500,01/01/2016,
03044600,01/01/2016,
03044700,01/01/2017,
03044800,01/01/2017,
03044910,01/01/2016,
03044920,01/01/2016,
03044990,01/01/2016,
03045100,01/01/2016,
03045200,01/01/2016,
03045300,01/01/2016,
03045400,01/01/2016,
03045500,01/01/2016,
03045600,01/01/2017,
03045700,01/01/2017,
03045900,01/01/2016,
03046100,01/01/2016,
03046210,01/01/2016,
03046290,01/01/2016,
03046300,01/01/2016,
03046900,01/01/2016,
03047100,01/01/2016,
03047200,01/01/2016,
03047300,01/01/2016,
03047400,01/01/2016,
03047500,01/01/2016,
03047900,01/01/2016,
03048100,01/01/2016,
03048200,01/01/2016,
03048300,01/01/2016,
03048400,01/01/2016,
03048510,01/01/2016,
03048520,01/01/2016,
03048600,01/01/2016,
03048700,01/01/2016,
03048810,01/01/2017,
03048890,01/01/2017,
03048910,01/01/2016,
03048920,01/01/2016,
03048930,01/01/2016,
03048940,01/01/2016,31/03/2017
03048990,01/01/2016,
03049100,01/01/2016,
03049211,01/01/2016,
03049212,01/01/2016,
03049219,01/01/2016,
03049221,01/01/2016,
03049222,01/01/2016,
03049229,01/01/2016,
03049300,01/01/2016,
03049400,01/01/2016,
03049500,01/01/2016,
03049600,01/01/2017,
03049700,01/01/2017,
03049900,01/01/2016,
03051000,01/01/2016,
03052000,01/01/2016,
03053100,01/01/2016,
03053210,01/01/2016,
03053220,01/01/2016,
03053230,01/01/2017,
03053290,01/01/2016,
03053900,01/01/2017,
03053910,01/01/2016,31/03/2017
03053990,01/01/2016,31/03/2017
03054100,01/01/2016,
03054200,01/01/2016,
03054300,01/01/2016,
03054400,01/01/2016,
03054910,01/01/2016,
03054920,01/01/2016,
03054990,01/01/2016,
03055100,01/01/2016,
03055200,01/01/2017,
03055310,01/01/2017,
03055390,01/01/2017,
03055400,01/01/2017,
03055900,01/01/2017,
03055910,01/01/2016,31/03/2017
03055990,01/01/2016,31/03/2017
03056100,01/01/2016,
03056200,01/01/2016,
03056300,01/01/2016,
03056400,01/01/2016,
03056910,01/01/2016,
03056990,01/01/2016,
03057100,01/01/2016,
03057200,01/01/2016,
03057900,01/01/2016,
03061110,01/01/2016,
03061190,01/01/2016,
03061200,01/01/2016,
03061400,01/01/2016,
03061500,01/01/2016,
03061610,01/01/2016,
03061690,01/01/2016,
03061710,01/01/2016,
03061790,01/01/2016,
03061910,01/01/2016,
03061990,01/01/2016,
03062100,01/01/2016,31/03/2017
03062200,01/01/2016,31/03/2017
03062400,01/01/2016,31/03/2017
03062500,01/01/2016,31/03/2017
03062600,01/01/2016,31/03/2017
