NCM,Início de vigência,Fim de vigência
29147929,01/01/2017,
29147990,01/01/2017,
29151100,01/01/2016,
29151210,01/01/2016,
29151290,01/01/2016,
29151310,01/01/2016,
29151390,01/01/2016,
29152100,01/01/2016,
29152400,01/01/2016,
29152910,01/01/2016,
29152920,01/01/2016,
29152990,01/01/2016,
29153100,01/01/2016,
29153200,01/01/2016,
29153300,01/01/2016,
29153600,01/01/2016,
29153910,01/01/2016,
29153921,01/01/2016,
29153929,01/01/2016,
29153931,01/01/2016,
29153932,01/01/2016,
29153939,01/01/2016,
29153941,01/01/2016,
29153942,01/01/2016,
29153951,01/01/2016,
29153952,01/01/2016,
29153953,01/01/2016,
29153954,01/01/2016,
29153955,01/01/2016,
29153961,01/01/2016,
29153962,01/01/2016,
29153963,01/01/2016,
29153991,01/01/2016,
29153992,01/01/2016,
29153993,01/01/2016,
29153994,01/01/2016,
29153999,01/01/2016,
29154010,01/01/2016,
29154020,01/01/2016,
29154090,01/01/2016,
29155010,01/01/2016,
29155020,01/01/2016,
29155030,01/01/2016,
29156011,01/01/2016,
29156012,01/01/2016,
29156019,01/01/2016,
29156021,01/01/2016,
29156029,01/01/2016,
29157011,01/01/2016,
29157019,01/01/2016,
29157020,01/01/2016,
29157031,01/01/2016,
29157039,01/01/2016,
29157040,01/01/2016,
29159010,01/01/2016,
29159021,01/01/2016,
29159022,01/01/2016,
29159023,01/01/2016,
29159024,01/01/2016,
29159029,01/01/2016,
29159031,01/01/2016,
29159032,01/01/2016,
29159033,01/01/2016,
29159039,01/01/2016,
29159041,01/01/2016,
29159042,01/01/2016,
29159050,01/01/2016,
29159060,01/01/2016,
29159090,01/01/2016,
29161110,01/01/2016,
29161120,01/01/2016,
29161210,01/01/2016,
29161220,01/01/2016,
29161230,01/01/2016,
29161240,01/01/2016,
29161290,01/01/2016,
29161310,01/01/2016,
29161320,01/01/2016,
29161410,01/01/2016,
29161420,01/01/2016,
29161430,01/01/2016,
29161490,01/01/2016,
29161511,01/01/2016,
29161519,01/01/2016,
29161520,01/01/2016,
29161600,01/01/2016,
29161911,01/01/2016,
29161919,01/01/2016,
29161921,01/01/2016,
29161922,01/01/2016,
29161923,01/01/2016,
29161929,01/01/2016,
29161990,01/01/2016,
29162011,01/01/2016,
29162012,01/01/2016,
29162013,01/01/2016,
29162014,01/01/2016,
29162015,01/01/2016,
29162019,01/01/2016,
29162090,01/01/2016,
29163110,01/01/2016,
29163121,01/01/2016,
29163122,01/01/2016,
29163129,01/01/2016,
29163131,01/01/2016,
29163132,01/01/2016,
29163139,01/01/2016,
29163210,01/01/2016,
29163220,01/01/2016,
29163400,01/01/2016,
29163910,01/01/2016,
29163920,01/01/2016,
29163930,01/01/2016,
29163940,01/01/2016,
29163990,01/01/2016,
29171110,01/01/2016,
29171120,01/01/2016,
29171210,01/01/2016,
29171220,01/01/2016,
29171310,01/01/2016,
29171321,01/01/2016,
29171322,01/01/2016,
29171323,01/01/2016,
29171329,01/01/2016,
29171400,01/01/2016,
29171910,01/01/2016,
29171921,01/01/2016,
29171922,01/01/2016,
29171930,01/01/2016,
29171990,01/01/2016,
29172000,01/01/2016,
29173200,01/01/2016,
29173300,01/01/2016,
29173400,01/01/2016,
29173500,01/01/2016,
29173600,01/01/2016,
29173700,01/01/2016,
29173911,01/01/2016,
29173919,01/01/2016,
29173920,01/01/2016,
29173931,01/01/2016,
29173939,01/01/2016,
29173940,01/01/2016,
29173950,01/01/2016,
29173990,01/01/2016,
29181100,01/01/2016,
29181200,01/01/2016,
29181310,01/01/2016,
29181320,01/01/2016,
29181400,01/01/2016,
29181500,01/01/2016,
29181610,01/01/2016,
29181690,01/01/2016,
29181700,01/01/2017,
29181800,01/01/2016,
29181910,01/01/2016,
29181921,01/01/2016,
29181922,01/01/2016,
29181929,01/01/2016,
29181930,01/01/2016,
29181941,01/01/2016,31/03/2017
29181942,01/01/2016,
29181943,01/01/2016,
29181990,01/01/2016,
29182110,01/01/2016,
29182120,01/01/2016,
29182211,01/01/2016,
29182212,01/01/2016,
29182219,01/01/2016,
29182220,01/01/2016,
29182300,01/01/2016,
29182910,01/01/2016,
29182921,01/01/2016,
29182922,01/01/2016,
29182923,01/01/2016,
29182929,01/01/2016,
29182930,01/01/2016,
29182940,01/01/2016,
29182950,01/01/2016,
29182990,01/01/2016,
29183010,01/01/2016,
29183020,01/01/2016,
29183031,01/01/2016,
29183032,01/01/2016,
29183033,01/01/2016,
29183039,01/01/2016,
29183040,01/01/2016,
29183090,01/01/2016,
29189100,01/01/2016,
29189911,01/01/2016,
29189912,01/01/2016,
29189919,01/01/2016,
29189921,01/01/2016,
29189929,01/01/2016,
29189930,01/01/2016,
29189940,01/01/2016,
29189950,01/01/2016,
29189960,01/01/2016,
29189991,01/01/2016,
29189992,01/01/2016,
29189993,01/01/2016,
29189994,01/01/2016,
29189999,01/01/2016,
29191000,01/01/2016,
29199010,01/01/2016,
29199020,01/01/2016,
29199030,01/01/2016,
29199040,01/01/2016,
29199050,01/01/2016,
29199060,01/01/2016,
29199090,01/01/2016,
29201110,01/01/2016,
29201120,01/01/2016,
29201910,01/01/2016,
29201920,01/01/2016,
29201990,01/01/2016,
29202100,01/01/2017,
29202200,01/01/2017,
29202300,01/01/2017,
29202400,01/01/2017,
29202910,01/01/2017,
29202920,01/01/2017,
29202930,01/01/2017,
29202940,01/01/2017,
29202950,01/01/2017,
29202990,01/01/2017,
29203000,01/01/2017,
29209013,01/01/2016,31/03/2017
29209014,01/01/2016,31/03/2017
29209015,01/01/2016,31/03/2017
29209016,01/01/2016,31/03/2017
29209017,01/01/2016,31/03/2017
29209019,01/01/2016,31/03/2017
29209021,01/01/2016,31/03/2017
29209022,01/01/2016,
29209029,01/01/2016,
29209031,01/01/2016,
29209032,01/01/2016,
29209033,01/01/2016,
29209039,01/01/2016,
29209041,01/01/2016,
29209042,01/01/2016,
29209049,01/01/2016,
29209051,01/01/2016,
29209059,01/01/2016,
29209061,01/01/2016,31/03/2017
29209062,01/01/2016,31/03/2017
29209063,01/01/2016,31/03/2017
29209064,01/01/2016,31/03/2017
29209069,01/01/2016,31/03/2017
29209090,01/01/2016,
29211111,01/01/2016,
29211112,01/01/2016,
29211121,01/01/2016,
29211122,01/01/2016,
29211123,01/01/2016,
29211129,01/01/2016,
29211131,01/01/2016,
29211132,01/01/2016,
29211139,01/01/2016,
29211200,01/01/2017,
29211300,01/01/2017,
29211400,01/01/2017,
29211911,01/01/2016,
29211912,01/01/2016,
29211913,01/01/2016,
29211914,01/01/2016,
29211915,01/01/2016,
29211919,01/01/2016,
29211921,01/01/2016,
29211922,01/01/2016,
29211923,01/01/2016,
29211924,01/01/2016,
29211929,01/01/2016,
29211931,01/01/2016,
29211939,01/01/2016,
29211941,01/01/2016,
29211949,01/01/2016,
29211991,01/01/2016,
29211992,01/01/2016,
29211993,01/01/2016,
29211999,01/01/2016,
29212100,01/01/2016,
29212200,01/01/2016,
29212910,01/01/2016,
29212920,01/01/2016,
29212990,01/01/2016,
29213011,01/01/2016,
29213012,01/01/2016,
29213019,01/01/2016,
29213020,01/01/2016,
29213090,01/01/2016,
29214100,01/01/2016,
29214211,01/01/2016,
29214219,01/01/2016,
29214221,01/01/2016,
29214229,01/01/2016,
29214231,01/01/2016,
29214239,01/01/2016,
29214241,01/01/2016,
29214249,01/01/2016,
29214290,01/01/2016,
29214311,01/01/2016,
29214319,01/01/2016,
29214321,01/01/2016,
29214322,01/01/2016,
29214323,01/01/2016,
29214329,01/01/2016,
29214410,01/01/2016,
29214421,01/01/2016,
29214422,01/01/2016,
29214429,01/01/2016,
29214500,01/01/2016,
29214610,01/01/2016,
29214620,01/01/2016,
29214630,01/01/2016,
29214640,01/01/2016,
29214650,01/01/2016,
29214660,01/01/2016,
29214670,01/01/2016,
29214680,01/01/2016,
29214690,01/01/2016,
29214910,01/01/2016,
29214921,01/01/2016,
29214922,01/01/2016,
29214929,01/01/2016,
29214931,01/01/2016,
29214939,01/01/2016,
29214990,01/01/2016,
29215111,01/01/2016,
29215112,01/01/2016,
29215119,01/01/2016,
29215120,01/01/2016,
29215131,01/01/2016,
29215132,01/01/2016,
29215133,01/01/2016,
29215134,01/01/2016,
29215135,01/01/2016,
29215139,01/01/2016,
29215190,01/01/2016,
29215911,01/01/2016,
29215919,01/01/2016,
29215921,01/01/2016,
29215929,01/01/2016,
29215931,01/01/2016,
29215932,01/01/2016,
29215939,01/01/2016,
29215990,01/01/2016,
29221100,01/01/2016,
29221200,01/01/2016,
29221310,01/01/2016,31/03/2017
29221320,01/01/2016,31/03/2017
29221400,01/01/2016,
29221500,01/01/2017,
29221600,01/01/2017,
29221700,01/01/2017,
29221800,01/01/2017,
29221911,01/01/2016,
29221912,01/01/2016,
29221913,01/01/2016,
29221919,01/01/2016,
29221921,01/01/2016,
29221929,01/01/2016,
29221931,01/01/2016,
29221939,01/01/2016,
29221941,01/01/2016,
29221949,01/01/2016,
29221951,01/01/2016,
29221952,01/01/2016,
29221959,01/01/2016,
29221961,01/01/2016,31/03/2017
29221962,01/01/2016,31/03/2017
29221969,01/01/2016,31/03/2017
29221971,01/01/2017,
29221979,01/01/2017,
29221981,01/01/2017,
29221989,01/01/2017,
29221991,01/01/2016,
29221992,01/01/2016,
29221993,01/01/2016,
29221994,01/01/2016,
29221995,01/01/2016,
29221996,01/01/2017,
29221999,01/01/2016,
29222100,01/01/2016,
29222911,01/01/2016,
29222919,01/01/2016,
29222920,01/01/2016,
29222990,01/01/2016,
29223111,01/01/2016,
29223112,01/01/2016,
29223120,01/01/2016,
29223130,01/01/2016,
29223910,01/01/2016,
29223921,01/01/2016,
29223929,01/01/2016,
29223990,01/01/2016,
29224110,01/01/2016,
29224190,01/01/2016,
29224210,01/01/2016,
29224220,01/01/2016,
29224300,01/01/2016,
29224410,01/01/2016,
29224420,01/01/2016,
29224910,01/01/2016,
29224920,01/01/2016,
29224931,01/01/2016,
29224932,01/01/2016,
29224940,01/01/2016,
29224951,01/01/2016,
29224952,01/01/2016,
29224959,01/01/2016,
29224961,01/01/2016,
29224962,01/01/2016,
29224963,01/01/2016,
29224964,01/01/2016,
29224969,01/01/2016,
29224990,01/01/2016,
29225011,01/01/2016,
29225019,01/01/2016,
29225021,01/01/2016,31/03/2017
29225029,01/01/2016,31/03/2017
29225031,01/01/2016,
29225032,01/01/2016,
29225039,01/01/2016,
29225041,01/01/2016,31/03/2017
29225049,01/01/2016,31/03/2017
29225050,01/01/2016,31/03/2017
29225091,01/01/2016,
29225099,01/01/2016,
29231000,01/01/2016,
29232000,01/01/2016,
29233000,01/01/2017,
29234000,01/01/2017,
29239010,01/01/2016,
29239020,01/01/2016,
29239030,01/01/2016,
29239040,01/01/2016,
29239050,01/01/2016,
29239060,01/01/2016,
29239090,01/01/2016,
29241100,01/01/2016,
29241210,01/01/2016,
29241220,01/01/2016,
29241230,01/01/2016,
29241911,01/01/2016,
29241919,01/01/2016,
29241921,01/01/2016,
29241922,01/01/2016,
29241929,01/01/2016,
29241931,01/01/2016,
29241932,01/01/2016,
29241939,01/01/2016,
29241942,01/01/2016,
29241949,01/01/2016,
29241991,01/01/2016,
29241992,01/01/2016,
29241993,01/01/2016,
29241994,01/01/2016,
29241999,01/01/2016,
29242111,01/01/2016,
29242119,01/01/2016,
29242120,01/01/2016,
29242190,01/01/2016,
29242300,01/01/2016,
29242400,01/01/2016,
29242500,01/01/2017,
29242911,01/01/2016,
29242912,01/01/2016,
29242913,01/01/2016,
29242914,01/01/2016,
29242915,01/01/2016,
29242919,01/01/2016,
29242920,01/01/2016,
29242931,01/01/2016,
29242932,01/01/2016,
29242939,01/01/2016,
29242941,01/01/2016,
29242942,01/01/2016,31/03/2017
29242943,01/01/2016,
29242944,01/01/2016,
29242945,01/01/2016,
29242946,01/01/2016,
29242947,01/01/2016,
29242949,01/01/2016,
29242951,01/01/2016,
29242952,01/01/2016,
29242959,01/01/2016,
29242961,01/01/2016,
29242962,01/01/2016,
29242963,01/01/2016,
29242964,01/01/2016,
29242969,01/01/2016,
29242991,01/01/2016,
29242992,01/01/2016,
29242993,01/01/2016,
29242994,01/01/2016,
29242995,01/01/2016,
29242996,01/01/2016,
29242999,01/01/2016,
29251100,01/01/2016,
29251200,01/01/2016,
29251910,01/01/2016,
29251990,01/01/2016,
29252100,01/01/2016,
29252911,01/01/2016,
29252919,01/01/2016,
29252921,01/01/2016,
29252922,01/01/2016,
29252923,01/01/2016,
29252929,01/01/2016,
29252930,01/01/2016,
29252940,01/01/2016,
29252950,01/01/2016,
29252990,01/01/2016,
29261000,01/01/2016,
29262000,01/01/2016,
29263011,01/01/2016,
29263012,01/01/2016,
29263020,01/01/2016,
29264000,01/01/2017,
29269011,01/01/2016,
29269012,01/01/2016,
29269019,01/01/2016,
29269021,01/01/2016,
29269022,01/01/2016,
29269023,01/01/2016,
29269024,01/01/2016,
29269025,01/01/2016,
29269026,01/01/2016,
29269029,01/01/2016,
29269030,01/01/2016,
29269091,01/01/2016,
29269092,01/01/2016,
29269093,01/01/2016,
29269095,01/01/2016,
29269096,01/01/2016,
29269099,01/01/2016,
29270010,01/01/2016,
29270021,01/01/2016,
29270029,01/01/2016,
29270030,01/01/2016,
29280011,01/01/2016,
29280019,01/01/2016,
29280020,01/01/2016,
29280030,01/01/2016,
29280041,01/01/2016,
29280042,01/01/2016,
29280090,01/01/2016,
29291010,01/01/2016,
29291021,01/01/2016,
29291029,01/01/2016,
29291030,01/01/2016,
29291090,01/01/2016,
29299011,01/01/2016,
29299012,01/01/2016,
29299019,01/01/2016,
29299021,01/01/2016,
29299022,01/01/2016,
29299029,01/01/2016,
29299090,01/01/2016,
29302011,01/01/2016,
29302012,01/01/2016,
29302013,01/01/2016,
29302019,01/01/2016,
29302021,01/01/2016,
29302022,01/01/2016,
29302023,01/01/2016,
29302024,01/01/2016,
29302029,01/01/2016,
29303011,01/01/2016,
29303012,01/01/2016,
29303019,01/01/2016,
29303021,01/01/2016,
29303022,01/01/2016,
29303029,01/01/2016,
29303090,01/01/2016,
29304010,01/01/2016,
29304090,01/01/2016,
29305010,01/01/2016,31/03/2017
29305020,01/01/2016,31/03/2017
29306000,01/01/2017,
29307000,01/01/2017,
29308010,01/01/2017,
29308020,01/01/2017,
29308030,01/01/2017,
29309011,01/01/2016,
29309012,01/01/2016,
29309013,01/01/2016,
29309019,01/01/2016,
29309021,01/01/2016,
29309022,01/01/2016,
29309023,01/01/2016,
29309029,01/01/2016,
29309031,01/01/2016,
29309032,01/01/2016,
29309033,01/01/2016,
29309034,01/01/2016,
29309035,01/01/2016,
29309036,01/01/2016,
29309037,01/01/2016,
29309038,01/01/2016,31/03/2017
29309039,01/01/2016,
29309041,01/01/2016,
29309042,01/01/2016,
29309043,01/01/2016,
29309049,01/01/2016,
29309051,01/01/2016,
29309052,01/01/2016,
29309053,01/01/2016,
29309054,01/01/2016,
29309057,01/01/2016,
29309059,01/01/2016,
29309061,01/01/2016,
29309069,01/01/2016,
29309071,01/01/2016,
29309072,01/01/2016,
29309079,01/01/2016,
29309081,01/01/2016,
29309082,01/01/2016,
29309083,01/01/2016,
29309084,01/01/2016,
29309085,01/01/2016,
29309086,01/01/2016,
29309087,01/01/2016,
29309088,01/01/2016,
29309089,01/01/2016,
29309091,01/01/2016,
29309093,01/01/2016,
29309094,01/01/2016,
29309095,01/01/2016,
29309096,01/01/2016,
29309097,01/01/2016,
29309098,01/01/2016,
29309099,01/01/2016,
29311000,01/01/2016,
29312000,01/01/2016,
29313100,01/01/2017,
29313200,01/01/2017,
29313300,01/01/2017,
29313400,01/01/2017,
29313500,01/01/2017,
29313600,01/01/2017,
29313700,01/01/2017,
29313800,01/01/2017,
29313911,01/01/2017,
29313912,01/01/2017,
29313913,01/01/2017,
29313914,01/01/2017,
29313915,01/01/2017,
29313916,01/01/2017,
29313917,01/01/2017,
29313918,01/01/2017,
29313991,01/01/2017,
29313992,01/01/2017,
29313993,01/01/2017,
29313994,01/01/2017,
29313995,01/01/2017,
29313996,01/01/2017,
29313997,01/01/2017,
29313999,01/01/2017,
29319021,01/01/2016,
29319029,01/01/2016,
29319031,01/01/2016,31/03/2017
29319032,01/01/2016,31/03/2017
29319033,01/01/2016,31/03/2017
29319034,01/01/2016,31/03/2017
29319035,01/01/2016,31/03/2017
29319036,01/01/2016,31/03/2017
29319037,01/01/2016,31/03/2017
29319038,01/01/2016,31/03/2017
29319041,01/01/2016,
29319042,01/01/2016,
29319043,01/01/2016,
29319044,01/01/2016,
29319045,01/01/2016,
29319046,01/01/2016,
29319049,01/01/2016,
29319051,01/01/2016,
29319052,01/01/2016,
29319053,01/01/2016,
29319054,01/01/2016,
29319059,01/01/2016,
29319061,01/01/2016,
29319062,01/01/2016,
29319069,01/01/2016,
29319071,01/01/2016,31/03/2017
29319072,01/01/2016,31/03/2017
29319073,01/01/2016,31/03/2017
29319074,01/01/2016,31/03/2017
29319075,01/01/2016,31/03/2017
29319076,01/01/2016,31/03/2017
29319077,01/01/2016,31/03/2017
29319079,01/01/2016,31/03/2017
29319090,01/01/2016,
29321100,01/01/2016,
29321200,01/01/2016,
29321310,01/01/2016,
29321320,01/01/2016,
29321400,01/01/2017,
29321910,01/01/2016,
29321920,01/01/2016,
29321930,01/01/2016,
29321940,01/01/2016,
29321950,01/01/2016,
29321990,01/01/2016,
29322000,01/01/2016,
29329100,01/01/2016,
29329200,01/01/2016,
29329300,01/01/2016,
29329400,01/01/2016,
29329500,01/01/2016,
29329911,01/01/2016,
29329912,01/01/2016,
29329913,01/01/2016,
29329914,01/01/2016,
29329991,01/01/2016,
29329992,01/01/2016,
29329993,01/01/2016,
29329994,01/01/2016,
29329999,01/01/2016,
29331111,01/01/2016,
29331112,01/01/2016,
29331119,01/01/2016,
29331120,01/01/2016,
29331190,01/01/2016,
29331911,01/01/2016,
29331919,01/01/2016,
29331990,01/01/2016,
29332110,01/01/2016,
29332121,01/01/2016,
29332129,01/01/2016,
29332190,01/01/2016,
29332911,01/01/2016,
29332912,01/01/2016,
29332913,01/01/2016,
29332919,01/01/2016,
29332921,01/01/2016,
29332922,01/01/2016,
29332923,01/01/2016,
29332924,01/01/2016,
29332925,01/01/2016,
29332929,01/01/2016,
29332930,01/01/2016,
29332940,01/01/2016,
29332991,01/01/2016,
29332992,01/01/2016,
29332993,01/01/2016,
29332994,01/01/2016,
29332995,01/01/2016,
29332999,01/01/2016,
29333110,01/01/2016,
29333120,01/01/2016,
29333200,01/01/2016,
29333311,01/01/2016,
29333312,01/01/2016,
29333319,01/01/2016,
29333321,01/01/2016,
29333322,01/01/2016,
29333329,01/01/2016,
29333330,01/01/2016,
29333341,01/01/2016,
29333342,01/01/2016,
29333349,01/01/2016,
29333351,01/01/2016,
29333352,01/01/2016,
29333359,01/01/2016,
29333361,01/01/2016,
29333362,01/01/2016,
29333363,01/01/2016,
29333369,01/01/2016,
29333371,01/01/2016,
29333372,01/01/2016,
29333379,01/01/2016,
29333381,01/01/2016,
29333382,01/01/2016,
29333383,01/01/2016,
29333384,01/01/2016,
29333389,01/01/2016,
29333391,01/01/2016,
29333392,01/01/2016,
29333393,01/01/2016,
29333399,01/01/2016,
29333912,01/01/2016,
29333913,01/01/2016,
29333914,01/01/2016,
29333915,01/01/2016,
29333919,01/01/2016,
29333921,01/01/2016,
29333922,01/01/2016,
29333923,01/01/2016,
29333924,01/01/2016,
29333925,01/01/2016,
29333929,01/01/2016,
29333931,01/01/2016,
29333932,01/01/2016,
29333933,01/01/2016,
29333934,01/01/2016,
29333935,01/01/2016,
29333936,01/01/2016,
29333939,01/01/2016,
29333943,01/01/2016,
29333944,01/01/2016,
29333945,01/01/2016,
29333946,01/01/2016,
29333947,01/01/2016,
29333948,01/01/2016,
29333949,01/01/2016,
29333981,01/01/2016,
29333982,01/01/2016,
29333983,01/01/2016,
29333984,01/01/2016,
29333989,01/01/2016,
29333991,01/01/2016,
29333992,01/01/2016,
29333993,01/01/2016,
29333994,01/01/2016,
29333999,01/01/2016,
29334110,01/01/2016,
29334120,01/01/2016,
29334911,01/01/2016,
29334912,01/01/2016,
29334913,01/01/2016,
29334919,01/01/2016,
29334920,01/01/2016,
29334930,01/01/2016,
29334940,01/01/2016,
29334990,01/01/2016,
29335200,01/01/2016,
29335311,01/01/2016,
29335312,01/01/2016,
29335321,01/01/2016,
29335322,01/01/2016,
29335323,01/01/2016,
29335330,01/01/2016,
29335340,01/01/2016,
29335350,01/01/2016,
29335360,01/01/2016,
29335371,01/01/2016,
29335372,01/01/2016,
29335380,01/01/2016,
29335400,01/01/2016,
29335510,01/01/2016,
29335520,01/01/2016,
29335530,01/01/2016,
29335540,01/01/2016,
29335911,01/01/2016,
29335912,01/01/2016,
29335913,01/01/2016,
29335914,01/01/2016,
29335915,01/01/2016,
29335916,01/01/2016,
29335919,01/01/2016,
29335921,01/01/2016,
29335922,01/01/2016,
29335923,01/01/2016,
29335929,01/01/2016,
29335931,01/01/2016,
29335932,01/01/2016,
29335933,01/01/2016,
29335934,01/01/2016,
29335935,01/01/2016,
29335939,01/01/2016,
29335941,01/01/2016,
29335942,01/01/2016,
29335943,01/01/2016,
29335944,01/01/2016,
29335945,01/01/2016,
29335949,01/01/2016,
29335991,01/01/2016,
29335992,01/01/2016,
29335999,01/01/2016,
29336100,01/01/2016,
29336911,01/01/2016,
29336912,01/01/2016,
29336913,01/01/2016,
29336914,01/01/2016,
29336915,01/01/2016,
29336916,01/01/2016,
29336919,01/01/2016,
29336921,01/01/2016,
29336922,01/01/2016,
29336923,01/01/2016,
29336929,01/01/2016,
29336991,01/01/2016,
29336992,01/01/2016,
29336999,01/01/2016,
29337100,01/01/2016,
29337210,01/01/2016,
29337220,01/01/2016,
29337910,01/01/2016,
29337990,01/01/2016,
29339111,01/01/2016,
29339112,01/01/2016,
29339113,01/01/2016,
29339114,01/01/2016,
29339115,01/01/2016,
29339119,01/01/2016,
29339121,01/01/2016,
29339122,01/01/2016,
29339123,01/01/2016,
29339129,01/01/2016,
29339131,01/01/2016,
29339132,01/01/2016,
29339133,01/01/2016,
29339134,01/01/2016,
29339139,01/01/2016,
29339141,01/01/2016,
29339142,01/01/2016,
29339143,01/01/2016,
29339149,01/01/2016,
29339151,01/01/2016,
29339152,01/01/2016,
29339153,01/01/2016,
29339159,01/01/2016,
29339161,01/01/2016,
29339162,01/01/2016,
29339163,01/01/2016,
29339164,01/01/2016,
29339169,01/01/2016,
29339171,01/01/2016,
29339172,01/01/2016,
29339173,01/01/2016,
29339179,01/01/2016,
29339181,01/01/2016,
29339182,01/01/2016,
29339183,01/01/2016,
29339189,01/01/2016,
29339200,01/01/2017,
29339911,01/01/2016,
29339912,01/01/2016,
29339913,01/01/2016,
29339919,01/01/2016,
29339920,01/01/2016,
29339931,01/01/2016,
29339932,01/01/2016,
29339933,01/01/2016,
29339934,01/01/2016,
29339935,01/01/2016,
29339939,01/01/2016,
29339941,01/01/2016,
29339942,01/01/2016,
29339943,01/01/2016,
29339944,01/01/2016,
29339945,01/01/2016,
29339946,01/01/2016,
29339947,01/01/2016,
29339949,01/01/2016,
29339951,01/01/2016,
29339952,01/01/2016,
29339953,01/01/2016,
29339954,01/01/2016,
29339955,01/01/2016,
29339956,01/01/2016,
29339959,01/01/2016,
29339961,01/01/2016,
29339962,01/01/2016,
29339963,01/01/2016,
29339969,01/01/2016,
29339991,01/01/2016,
29339992,01/01/2016,
29339993,01/01/2016,
29339995,01/01/2016,
29339996,01/01/2016,
29339999,01/01/2016,
29341010,01/01/2016,
29341020,01/01/2016,
29341030,01/01/2016,
29341090,01/01/2016,
29342010,01/01/2016,
29342020,01/01/2016,
29342031,01/01/2016,
29342032,01/01/2016,
29342033,01/01/2016,
29342034,01/01/2016,
29342039,01/01/2016,
29342040,01/01/2016,
29342090,01/01/2016,
29343010,01/01/2016,
29343020,01/01/2016,
29343030,01/01/2016,
29343090,01/01/2016,
29349111,01/01/2016,
29349112,01/01/2016,
29349121,01/01/2016,
29349122,01/01/2016,
29349123,01/01/2016,
29349129,01/01/2016,
29349131,01/01/2016,
29349132,01/01/2016,
29349133,01/01/2016,
29349141,01/01/2016,
29349142,01/01/2016,
29349149,01/01/2016,
29349150,01/01/2016,
29349160,01/01/2016,
29349170,01/01/2016,
29349911,01/01/2016,
29349912,01/01/2016,
29349913,01/01/2016,
29349914,01/01/2016,
29349915,01/01/2016,
29349919,01/01/2016,
29349922,01/01/2016,
29349923,01/01/2016,
29349924,01/01/2016,
29349925,01/01/2016,
29349926,01/01/2016,
29349927,01/01/2016,
29349929,01/01/2016,
29349931,01/01/2016,
29349932,01/01/2016,
29349933,01/01/2016,
29349934,01/01/2016,
29349935,01/01/2016,
29349939,01/01/2016,
29349941,01/01/2016,
29349942,01/01/2016,
29349943,01/01/2016,
29349944,01/01/2016,
29349945,01/01/2016,
29349946,01/01/2016,
29349949,01/01/2016,
29349951,01/01/2016,
29349952,01/01/2016,
29349953,01/01/2016,
29349954,01/01/2016,
29349959,01/01/2016,
29349961,01/01/2016,
29349969,01/01/2016,
29349991,01/01/2016,
29349992,01/01/2016,
29349993,01/01/2016,
29349999,01/01/2016,
29350011,01/01/2016,31/03/2017
29350012,01/01/2016,31/03/2017
29350013,01/01/2016,31/03/2017
29350014,01/01/2016,31/03/2017
29350015,01/01/2016,31/03/2017
29350019,01/01/2016,31/03/2017
29350021,01/01/2016,31/03/2017
29350022,01/01/2016,31/03/2017
29350023,01/01/2016,31/03/2017
29350024,01/01/2016,31/03/2017
29350025,01/01/2016,31/03/2017
29350029,01/01/2016,31/03/2017
29350091,01/01/2016,31/03/2017
29350092,01/01/2016,31/03/2017
29350093,01/01/2016,31/03/2017
29350094,01/01/2016,31/03/2017
29350095,01/01/2016,31/03/2017
29350096,01/01/2016,31/03/2017
29350097,01/01/2016,31/03/2017
29350099,01/01/2016,31/03/2017
29351000,01/01/2017,
29352000,01/01/2017,
29353000,01/01/2017,
29354000,01/01/2017,
29355000,01/01/2017,
29359011,01/01/2017,
29359012,01/01/2017,
29359013,01/01/2017,
29359014,01/01/2017,
29359015,01/01/2017,
29359019,01/01/2017,
29359021,01/01/2017,
29359022,01/01/2017,
29359023,01/01/2017,
29359024,01/01/2017,
29359025,01/01/2017,
29359029,01/01/2017,
29359091,01/01/2017,
29359092,01/01/2017,
29359093,01/01/2017,
29359094,01/01/2017,
29359095,01/01/2017,
29359096,01/01/2017,
29359097,01/01/2017,
29359099,01/01/2017,
29362111,01/01/2016,
29362112,01/01/2016,
29362113,01/01/2016,
29362119,01/01/2016,
29362190,01/01/2016,
29362210,01/01/2016,
29362220,01/01/2016,
29362290,01/01/2016,
29362310,01/01/2016,
29362320,01/01/2016,
29362390,01/01/2016,
29362410,01/01/2016,
29362490,01/01/2016,
29362510,01/01/2016,
29362520,01/01/2016,
29362590,01/01/2016,
29362610,01/01/2016,
29362620,01/01/2016,
29362630,01/01/2016,
29362690,01/01/2016,
29362710,01/01/2016,
29362720,01/01/2016,
29362790,01/01/2016,
29362811,01/01/2016,
29362812,01/01/2016,
29362819,01/01/2016,
29362890,01/01/2016,
29362911,01/01/2016,
29362919,01/01/2016,
29362921,01/01/2016,
29362929,01/01/2016,
29362931,01/01/2016,
29362939,01/01/2016,
29362940,01/01/2016,
29362951,01/01/2016,
29362952,01/01/2016,
29362953,01/01/2016,
29362959,01/01/2016,
29362990,01/01/2016,
29369000,01/01/2016,
29371100,01/01/2016,
29371200,01/01/2016,
29371910,01/01/2016,
29371920,01/01/2016,
29371930,01/01/2016,
29371940,01/01/2016,
29371950,01/01/2016,
29371990,01/01/2016,
29372110,01/01/2016,
29372120,01/01/2016,
29372130,01/01/2016,
29372140,01/01/2016,
29372210,01/01/2016,
29372221,01/01/2016,
